cam_ID,rec_ID,timestamp,label,confidence,track_ID,track_status,x_min,y_min,x_max,y_max
raspberrypi,28,2024-12-22T12:06:56.708586,insect,0.86,1,NEW,0.7989,0.7973,0.8481,0.9491
raspberrypi,28,2024-12-22T12:06:57.722676,insect,0.7,19,NEW,-0.0009,0.7356,0.0305,0.8386
raspberrypi,28,2024-12-22T12:09:01.855697,insect,0.74,27,NEW,0.4454,0.1266,0.4994,0.3312
raspberrypi,28,2024-12-22T12:09:02.889440,insect,0.77,32,NEW,0.4146,0.9448,0.445,1.0008
raspberrypi,28,2024-12-22T12:13:58.627977,insect,0.77,37,NEW,0.0966,0.7528,0.1477,1.0079
raspberrypi,28,2024-12-22T12:13:59.703232,insect,0.86,38,NEW,0.8547,0.7137,0.8982,0.862
raspberrypi,28,2024-12-22T12:23:22.864163,insect,0.79,45,NEW,0.0139,0.4071,0.0686,0.606
raspberrypi,28,2024-12-22T12:23:23.876510,insect,0.89,46,TRACKED,0.065,0.8585,0.1297,0.994
raspberrypi,28,2024-12-22T12:23:24.889089,insect,0.89,46,TRACKED,0.0667,0.8693,0.1231,0.9728
raspberrypi,28,2024-12-22T12:23:25.900015,insect,0.89,46,TRACKED,0.0673,0.8691,0.1233,0.9731
raspberrypi,28,2024-12-22T12:23:26.910851,insect,0.89,46,TRACKED,0.0666,0.868,0.1242,0.9733
raspberrypi,28,2024-12-22T12:23:27.922186,insect,0.89,46,TRACKED,0.0672,0.8694,0.1245,0.9729
raspberrypi,28,2024-12-22T12:23:28.932716,insect,0.89,46,TRACKED,0.0666,0.868,0.1236,0.9723
raspberrypi,28,2024-12-22T12:23:29.947300,insect,0.89,46,TRACKED,0.0662,0.869,0.1234,0.9734
raspberrypi,28,2024-12-22T12:23:30.963915,insect,0.89,46,TRACKED,0.0665,0.8672,0.1236,0.9725
raspberrypi,28,2024-12-22T12:23:31.973965,insect,0.89,46,TRACKED,0.0667,0.8685,0.124,0.9737
raspberrypi,28,2024-12-22T12:23:32.984676,insect,0.89,46,TRACKED,0.0664,0.8678,0.1237,0.9736
raspberrypi,28,2024-12-22T12:23:33.995553,insect,0.87,46,TRACKED,0.0699,0.8682,0.1256,0.9759
raspberrypi,28,2024-12-22T12:23:35.014951,insect,0.87,46,TRACKED,0.0707,0.8706,0.1259,0.9805
raspberrypi,28,2024-12-22T12:23:36.032932,insect,0.84,46,TRACKED,0.066,0.8707,0.1206,0.9772
raspberrypi,28,2024-12-22T12:23:37.045939,insect,0.88,46,TRACKED,0.0629,0.8695,0.1192,0.9761
raspberrypi,28,2024-12-22T12:23:38.057846,insect,0.87,46,TRACKED,0.058,0.8797,0.1165,0.9809
raspberrypi,28,2024-12-22T12:23:39.069807,insect,0.9,46,TRACKED,0.0558,0.8792,0.1114,0.9856
raspberrypi,28,2024-12-22T12:23:40.082803,insect,0.87,46,TRACKED,0.0563,0.866,0.1083,0.9888
raspberrypi,28,2024-12-22T12:23:41.093347,insect,0.88,46,TRACKED,0.0555,0.838,0.1207,0.962
raspberrypi,28,2024-12-22T12:23:42.104167,insect,0.91,46,TRACKED,0.0525,0.8371,0.1225,0.9612
raspberrypi,28,2024-12-22T12:23:43.114418,insect,0.88,46,TRACKED,0.0523,0.8358,0.1183,0.9627
raspberrypi,28,2024-12-22T12:23:44.125585,insect,0.93,46,TRACKED,0.0562,0.8299,0.1218,0.958
raspberrypi,28,2024-12-22T12:23:45.138562,insect,0.91,46,TRACKED,0.0673,0.8229,0.1328,0.951
raspberrypi,28,2024-12-22T12:23:46.151462,insect,0.92,46,TRACKED,0.0665,0.8228,0.133,0.9519
raspberrypi,28,2024-12-22T12:23:47.163983,insect,0.92,46,TRACKED,0.0667,0.8216,0.1327,0.9518
raspberrypi,28,2024-12-22T12:23:48.176233,insect,0.92,46,TRACKED,0.0679,0.8232,0.1309,0.9523
