cam_ID,rec_ID,rec_start,rec_end,duration_min,unique_track_IDs,disk_free_gb,chargelevel_start,chargelevel_end
raspberrypi,14,2024-12-02T16:49:54.134334,2024-12-02T16:52:55.207224,3.02,0,22.9,94,94
raspberrypi,20,2024-12-20T12:01:05.796332,2024-12-20T12:31:05.919318,30.0,2,21.7,65,61
raspberrypi,21,2024-12-20T14:01:05.336526,2024-12-20T14:31:05.344835,30.0,14,21.4,67,63
raspberrypi,23,2024-12-21T10:01:05.577108,2024-12-21T10:41:06.844302,40.02,6,19.3,96,90
raspberrypi,24,2024-12-21T10:42:14.469888,2024-12-21T11:22:14.502458,40.0,3,19.0,95,90
raspberrypi,25,2024-12-21T14:01:05.097284,2024-12-21T14:41:05.112874,40.0,0,19.0,95,90
raspberrypi,27,2024-12-22T10:01:06.000566,2024-12-22T10:41:06.003707,40.0,0,18.9,90,84
raspberrypi,28,2024-12-22T12:01:05.476926,2024-12-22T12:41:05.502412,40.0,1,18.8,86,82
raspberrypi,29,2024-12-22T14:01:05.532003,2024-12-22T14:41:05.534423,40.0,0,18.8,89,85
raspberrypi,31,2024-12-23T10:01:04.944763,2024-12-23T10:41:04.953131,40.0,0,18.8,85,79
raspberrypi,32,2024-12-23T12:01:05.446631,2024-12-23T12:41:05.466988,40.0,0,18.8,81,75
